1,20160918070000,53000,Atletismo,Maratón,AMCO
1,20160918180000,23000,Ceremonia de Clausura,ND,AMCO
2,20160918073000,20000,Voleibol sentado (Femenil),Bronce,AMCO
2,20160918100000,30000,Voleibol sentado (Femenil),Oro,AMCO
3,20160918070000,13000,Rugby en silla de ruedas ,Bronce,AMCO
3,20160918103000,20000,Rugby en silla de ruedas ,Oro,AMCO
4,20160918110000,20000,Rugby en silla de ruedas / Voleibol sentado,ND,AMCO
4,20160918130000,3000,Rio Suena,ND,AMCO
4,20160918153000,23000,Atletismo,Maratón,AMCO
4,20160918180000,20000,Ceremonia de Clausura,ND,AMCO
4,20160918150000,3000,Rio Suena,ND,AMCO
4,20160918200000,10000,Rio Suena,ND,AMCO
